,,,,
,,ACCESORIOS ,,
CANTIDAD,NOMBRE ,SALIDA,TOTAL,
1,PALA PARA ARENERO M,,,
1,PLATO DE DOS CONTENEDORES,,,
2,ARENEROS SENCILLOS,,,
1,ARENERO CERNICAT,1,0,
1,ARENA GATOS MICHO,,,
1,ARENA CLEAN KATSPREMIUM  5Kg,1,2,
2,ARENA CLEAN KATS ECO 5Kg,2,0,
8,COLLARES GREKAS,3,5,
3,COLLARES S MINI,,,
3,COLLARES LUMINISCENCIA,,,
1,COLLAR AZUL ESTOPER,,,
1,CORBATA,,,
3,CORREAS PIEL,,,
1,BEBEDERO COLIBRÍ,,,
8,JUGUETES KITTEN PAJAROS,1,7,
8,JUGUETES GATO RATON,1,7,
2,CARDAS M ROJAS,,,
1,CARDA CH ROJA,,,
1,CARDA M GRIS,,,
2,CARDAS CH,,,
2,CARDAS G,1,1,
1,DESLANADOR,1,0,
1,CADENA ACERO CROMADO,1,0,
1,JUGUETE CIRCULAR PROPLAN,,,
2,BOZALES M,2,0,
1,BOZAL G,1,0,
1,PELOTA,1,0,
3,CEPILLO DENTAL,,,
1,PEINE ACERO,,,
4,JUGUETES INTERACTIVOS,4,0,
2,RASCADEROS,,,
1,RASCADEROS TORRE,,,
1,ARENA GATO CLEAN CATS PREMIUM  20 KG,1,0,
1,ARENA GATO CLEAN CATS ECO 20 KG,1,0,
2,PALITAS P/ ARENA S,,,
1,PALITA P/ ARENA M,,,
2,PASTAS DENTAL FANCY PETS ,,,
1,TRANSPORTADORA TELA,,,
2,CAMAS JUMBO,1,1,
1,CAMA GRANDE,,,
2,CAMAS MEDIANAS ,2,0,
1,CAMA  CHICA ,1,0,
1,CAMA XCHICA,1,0,
4,CORREAS CON ARGOLLA COLLAR,,,
1,CORREA CON CADENA ,,,
1,CINTURON DE SEGURIDAD,,,
1,CORREAS CON COLLAR AZUL,,,
1,CORREAS CON COLLAR ROJA,,,
1,PECHERA ROSA,,,
8,PLAQUITAS QR,,,
8,COLLARES ARTESANAL PEEK M,,,
8,COLLARES ARTESANAL PEEK S,,,
,,,,
,,,,
,,,,
,,,,
,,No.,SALIDA,TOTAL
0,COLLAR ISABELINO ,1,,
11,COLLAR ISABELINO ,2,,
10,COLLAR ISABELINO ,3,,
9,COLLAR ISABELINO ,4,,
8,COLLAR ISABELINO ,5,,
7,COLLAR ISABELINO ,6,,
6,COLLAR ISABELINO ,7,,
